timesteps,episode_reward,episode_length,entropy_loss,value_loss,explained_variance
500,-303.647243,500.0,nan,nan,nan
1000,-463.313672,500.0,nan,nan,nan
1500,-228.324855,500.0,-5.165051460266113,0.02855011448264122,nan
2000,-426.771167,500.0,-5.165051460266113,0.02855011448264122,nan
2500,-225.19849,500.0,-8.213132858276367,0.023416340351104736,nan
3000,-226.375486,500.0,-9.174661636352539,0.01417185552418232,nan
3500,-227.692326,500.0,-9.65041732788086,0.013469144701957703,nan
4000,-253.744677,500.0,-9.65041732788086,0.013469144701957703,nan
4500,-210.738332,500.0,-9.814786911010742,0.012903711758553982,nan
5000,-230.796401,500.0,-9.66617488861084,0.008899135515093803,nan
5500,-131.020296,500.0,-9.183405876159668,0.009948678314685822,nan
6000,-29.469472,500.0,-9.183405876159668,0.009948678314685822,nan
6500,123.344278,500.0,-8.526028633117676,0.11436037719249725,nan
7000,94.399675,500.0,-7.795268535614014,0.2719982862472534,nan
7500,-96.90526,500.0,-7.422672748565674,0.07863140851259232,nan
8000,190.631951,500.0,-7.422672748565674,0.07863140851259232,nan
8500,66.1451,500.0,-6.420146942138672,0.453163743019104,nan
9000,183.307959,500.0,-7.576605796813965,0.5715757608413696,nan
9500,374.038199,500.0,-7.248640060424805,0.7549313306808472,nan
10000,661.761114,500.0,-7.248640060424805,0.7549313306808472,nan
10500,1207.578979,500.0,-5.742668151855469,0.1979316622018814,nan
11000,1821.053397,500.0,-7.057644844055176,0.3394296169281006,nan
11500,2765.888406,500.0,-8.847957611083984,0.5152400732040405,nan
12000,2735.934263,500.0,-8.847957611083984,0.5152400732040405,nan
12500,2738.227347,500.0,-11.510211944580078,0.5892611742019653,nan
12722,1031.270223,222.0,-12.504287719726562,0.896133542060852,nan
13222,3002.357179,500.0,-13.650630950927734,1.183441400527954,nan
13708,2800.402802,486.0,-13.650630950927734,1.183441400527954,nan
14208,2822.313211,500.0,-25.47731590270996,1.0803792476654053,nan
14708,2781.163069,500.0,-23.36934471130371,1.1230865716934204,nan
15208,2930.587725,500.0,-33.57051086425781,1.2380419969558716,nan
15708,2834.164366,500.0,-33.57051086425781,1.2380419969558716,nan
16170,2694.731192,462.0,-38.663063049316406,1.6743783950805664,nan
16670,3041.826916,500.0,-54.780887603759766,1.6874818801879883,nan
17170,3024.972308,500.0,-58.338497161865234,1.4872246980667114,nan
17474,1700.609112,304.0,-58.338497161865234,1.4872246980667114,nan
17591,452.6208,117.0,-58.98883819580078,1.2279071807861328,nan
18091,2963.410338,500.0,-80.2305908203125,1.5691108703613281,nan
18591,2997.983347,500.0,-84.91458129882812,2.8633384704589844,nan
19091,3048.162947,500.0,-84.91458129882812,2.8633384704589844,nan
19591,3074.442974,500.0,-99.06657409667969,1.592717170715332,nan
20091,3056.913686,500.0,-106.68102264404297,1.7106587886810303,nan
20591,3016.05616,500.0,-116.7928237915039,1.526151418685913,nan
21091,3048.581625,500.0,-116.7928237915039,1.526151418685913,nan
21333,1321.905873,242.0,-131.59487915039062,1.440281867980957,nan
21774,2689.196109,441.0,-137.36767578125,1.504126787185669,nan
22274,2975.843886,500.0,-135.44158935546875,1.8277735710144043,nan
22612,1908.232435,338.0,-135.44158935546875,1.8277735710144043,nan
22926,1784.364779,314.0,-161.85894775390625,1.3762826919555664,nan
23036,440.131485,110.0,-164.91494750976562,1.38103449344635,nan
23536,2933.677304,500.0,-169.393798828125,1.4106298685073853,nan
24036,2996.898121,500.0,-169.393798828125,1.4106298685073853,nan
24536,3082.468372,500.0,-194.0408935546875,1.5648753643035889,nan
25036,2957.075899,500.0,-204.72909545898438,1.217362880706787,nan
25536,3010.753033,500.0,-205.31507873535156,1.5644397735595703,nan
25689,913.047492,153.0,-205.31507873535156,1.5644397735595703,nan
26189,2893.826548,500.0,-222.98626708984375,1.6069142818450928,nan
26689,3018.09557,500.0,-231.06887817382812,1.283278226852417,nan
27189,3001.960127,500.0,-236.70855712890625,1.3576059341430664,nan
27689,2895.600594,500.0,-236.70855712890625,1.3576059341430664,nan
28189,2966.176109,500.0,-263.3871765136719,1.0733064413070679,nan
28689,2885.524732,500.0,-256.00408935546875,1.2986053228378296,nan
29189,2776.941558,500.0,-276.019287109375,0.9250820875167847,nan
29689,2931.208146,500.0,-276.019287109375,0.9250820875167847,nan
30189,2799.701184,500.0,-290.0440673828125,1.1727378368377686,nan
30689,2914.142753,500.0,-290.2033996582031,1.0224769115447998,nan
31189,3085.993237,500.0,-305.7745361328125,1.1132057905197144,nan
31689,3009.924122,500.0,-305.7745361328125,1.1132057905197144,nan
32189,2940.227854,500.0,-319.2574462890625,1.3184551000595093,nan
32689,2887.019786,500.0,-327.20379638671875,1.149751901626587,nan
33189,2966.485437,500.0,-322.3653564453125,1.0523648262023926,nan
33689,2946.364913,500.0,-322.3653564453125,1.0523648262023926,nan
34189,3026.766096,500.0,-346.0694274902344,1.0611604452133179,nan
34689,3020.841525,500.0,-351.8929443359375,1.3827781677246094,nan
35189,2907.35487,500.0,-358.6665344238281,1.3121588230133057,nan
35486,1701.92154,297.0,-358.6665344238281,1.3121588230133057,nan
35986,3016.459797,500.0,-364.11297607421875,0.9903793334960938,nan
36408,2585.337236,422.0,-367.1362609863281,615.913330078125,nan
36908,2909.375708,500.0,-370.6883850097656,1.0564000606536865,nan
37408,2885.657583,500.0,-370.6883850097656,1.0564000606536865,nan
37908,3035.079017,500.0,-382.4093017578125,1.0318987369537354,nan
38408,2877.87715,500.0,-378.97705078125,1.3728477954864502,nan
38908,2987.153262,500.0,-393.08892822265625,0.9945339560508728,nan
39408,2853.288364,500.0,-393.08892822265625,0.9945339560508728,nan
39908,3062.773081,500.0,-401.8315734863281,713.4154663085938,nan
40408,3063.484953,500.0,-402.50701904296875,726.6082153320312,nan
40908,2971.913656,500.0,-412.73114013671875,739.8489379882812,nan
41408,2969.299357,500.0,-412.73114013671875,739.8489379882812,nan
41908,2950.822636,500.0,-412.89794921875,1.0680210590362549,nan
42408,3022.844984,500.0,-418.6197509765625,1.1675848960876465,nan
42908,2974.147359,500.0,-432.0359802246094,1.037671685218811,nan
43408,3058.893514,500.0,-432.0359802246094,1.037671685218811,nan
43908,3048.339047,500.0,-444.83465576171875,0.6564329862594604,nan
44408,3056.831014,500.0,-446.9905090332031,1.0115644931793213,nan
44908,3125.579552,500.0,-443.1334533691406,1.207875370979309,nan
45408,3084.086328,500.0,-443.1334533691406,1.207875370979309,nan
45908,2999.456011,500.0,-449.95416259765625,1.014613151550293,nan
46408,3003.892041,500.0,-462.2318115234375,0.9349081516265869,nan
46908,2966.669025,500.0,-457.7711181640625,1.2203177213668823,nan
47408,2990.123804,500.0,-457.7711181640625,1.2203177213668823,nan
47908,2828.447149,500.0,-462.627197265625,1.59792959690094,nan
48408,2869.662155,500.0,-460.131591796875,1.0743887424468994,nan
48908,2923.599677,500.0,-472.1064453125,1.271847128868103,nan
49408,2979.971771,500.0,-472.1064453125,1.271847128868103,nan
49908,3024.189483,500.0,-475.2120056152344,1.0634660720825195,nan
50408,3027.397223,500.0,-485.40631103515625,1.2560759782791138,nan
50908,2984.795439,500.0,-479.1006164550781,1.2699694633483887,nan
51408,3019.289792,500.0,-479.1006164550781,1.2699694633483887,nan
51908,3077.253718,500.0,-497.379150390625,0.6589231491088867,nan
52408,2990.715937,500.0,-485.3082580566406,1.3922003507614136,nan
52908,3050.430915,500.0,-493.9880676269531,0.7554793357849121,nan
53408,3177.169555,500.0,-493.9880676269531,0.7554793357849121,nan
53908,2871.296842,500.0,-491.661376953125,1.6829218864440918,nan
54408,2937.668347,500.0,-497.65618896484375,1.3575623035430908,nan
54908,2995.200029,500.0,-498.8075866699219,0.9450836181640625,nan
55408,2963.71909,500.0,-498.8075866699219,0.9450836181640625,nan
55908,2989.958138,500.0,-500.05218505859375,1.2943207025527954,nan
56408,3003.273043,500.0,-507.6637878417969,1.0715148448944092,nan
56908,2943.571658,500.0,-515.7900390625,0.8535603284835815,nan
57408,3016.900748,500.0,-515.7900390625,0.8535603284835815,nan
57908,3055.81122,500.0,-508.31982421875,1.1083548069000244,nan
58408,3101.027792,500.0,-515.349609375,1049.1751708984375,nan
58908,2936.584259,500.0,-517.84375,1.1390881538391113,nan
59408,2988.235826,500.0,-517.84375,1.1390881538391113,nan
59908,2937.356123,500.0,-515.9226684570312,1.2652342319488525,nan
60408,3141.642364,500.0,-525.5733032226562,4.447841167449951,nan
60908,2995.130897,500.0,-524.2235717773438,1.4197845458984375,nan
61408,3045.171801,500.0,-524.2235717773438,1.4197845458984375,nan
61908,2991.829841,500.0,-530.0220947265625,1.5841960906982422,nan
62408,3183.463441,500.0,-527.3538818359375,1.5874595642089844,nan
62908,3067.46944,500.0,-533.964111328125,0.8165963888168335,nan
63408,3003.335925,500.0,-533.964111328125,0.8165963888168335,nan
63908,3073.304887,500.0,-540.8648071289062,1.3256700038909912,nan
64408,2969.013527,500.0,-535.8631591796875,1.9949618577957153,nan
64908,2946.488719,500.0,-542.8817749023438,1.2048978805541992,nan
65408,3008.758226,500.0,-542.8817749023438,1.2048978805541992,nan
65908,3102.685109,500.0,-547.6096801757812,0.6979434490203857,nan
66408,3055.983532,500.0,-548.5232543945312,0.8368143439292908,nan
66908,3027.010237,500.0,-551.7457275390625,4.49600887298584,nan
67408,2987.96166,500.0,-551.7457275390625,4.49600887298584,nan
67908,2979.333128,500.0,-546.5011596679688,0.9078525304794312,nan
68408,3050.042364,500.0,-548.40234375,5.6279802322387695,nan
68908,3086.864322,500.0,-548.3318481445312,1.0629653930664062,nan
69408,3151.545812,500.0,-548.3318481445312,1.0629653930664062,nan
69908,3063.751292,500.0,-554.381103515625,1.0350624322891235,nan
70408,2883.974614,500.0,-555.6232299804688,1.0339059829711914,nan
70908,3021.283395,500.0,-556.9151000976562,0.8839173913002014,nan
71408,3112.39249,500.0,-556.9151000976562,0.8839173913002014,nan
71908,3120.49645,500.0,-566.42236328125,0.7101473808288574,nan
72408,3070.096406,500.0,-557.1296997070312,2.9328958988189697,nan
72908,3094.545271,500.0,-554.9072265625,0.9965513944625854,nan
73408,2952.697727,500.0,-554.9072265625,0.9965513944625854,nan
73908,3009.831396,500.0,-565.5203247070312,0.9259846210479736,nan
74408,2931.280926,500.0,-566.20703125,0.9316573143005371,nan
74908,2972.921284,500.0,-564.242431640625,0.9531945586204529,nan
75408,2986.164804,500.0,-564.242431640625,0.9531945586204529,nan
75908,2915.390928,500.0,-569.1497192382812,0.9588030576705933,nan
76408,3063.626785,500.0,-576.9046630859375,1.0385571718215942,nan
76908,3046.504322,500.0,-573.1052856445312,1314.007568359375,nan
77408,3099.060174,500.0,-573.1052856445312,1314.007568359375,nan
77908,2764.58003,500.0,-570.5560302734375,1.2235076427459717,nan
78408,2890.95815,500.0,-576.340087890625,0.7673442959785461,nan
78908,2914.946627,500.0,-582.421630859375,0.6059932708740234,nan
79408,2939.439174,500.0,-582.421630859375,0.6059932708740234,nan
79908,3036.296605,500.0,-574.9890747070312,1.1558191776275635,nan
80408,2945.190316,500.0,-586.8887939453125,0.7572749853134155,nan
80908,3046.405548,500.0,-581.78466796875,0.9906905889511108,nan
81408,2945.600881,500.0,-581.78466796875,0.9906905889511108,nan
81908,2813.227283,500.0,-579.01416015625,0.68476802110672,nan
82408,2933.284607,500.0,-579.87548828125,1.3367444276809692,nan
82908,3191.275388,500.0,-592.2186889648438,0.9731398224830627,nan
83408,2937.298055,500.0,-592.2186889648438,0.9731398224830627,nan
83908,2801.949471,500.0,-583.00439453125,1358.62890625,nan
84408,2876.287878,500.0,-579.5750122070312,1.232452154159546,nan
84908,3101.656891,500.0,-584.4075927734375,1.3844566345214844,nan
85408,2993.404711,500.0,-584.4075927734375,1.3844566345214844,nan
85908,3007.131444,500.0,-587.7687377929688,1.4355545043945312,nan
86408,3018.021166,500.0,-584.5830078125,2.1342217922210693,nan
86908,3077.281614,500.0,-585.6297607421875,1394.201416015625,nan
87408,3072.695139,500.0,-585.6297607421875,1394.201416015625,nan
87908,3086.254917,500.0,-591.687255859375,1.1574679613113403,nan
88408,2830.924019,500.0,-593.4719848632812,0.8318561315536499,nan
88908,3005.60912,500.0,-585.631103515625,1.150446891784668,nan
89408,2990.352312,500.0,-585.631103515625,1.150446891784668,nan
89614,1154.437936,206.0,-587.7982177734375,0.9570751190185547,nan
90114,3023.686485,500.0,-598.1866455078125,1413.283447265625,nan
90614,2972.440441,500.0,-595.800048828125,1.980799674987793,nan
91114,3038.243776,500.0,-595.800048828125,1.980799674987793,nan
91614,3091.852272,500.0,-594.9885864257812,0.9415634870529175,nan
92114,3109.848118,500.0,-604.933349609375,1.0135905742645264,nan
92614,2968.357255,500.0,-595.7186279296875,0.9932177662849426,nan
93114,3220.867873,500.0,-595.7186279296875,0.9932177662849426,nan
93614,3101.048897,500.0,-608.3372802734375,6.619204521179199,nan
94114,3091.456623,500.0,-601.3933715820312,1.2042272090911865,nan
94614,3071.892924,500.0,-603.2242431640625,2.277743339538574,nan
95114,3101.555729,500.0,-603.2242431640625,2.277743339538574,nan
95614,3041.50334,500.0,-602.7859497070312,1.0747430324554443,nan
96114,2993.272444,500.0,-609.0638427734375,0.798981785774231,nan
96614,3066.018925,500.0,-604.6427612304688,0.6413578391075134,nan
97114,3142.335387,500.0,-604.6427612304688,0.6413578391075134,nan
97614,3098.821125,500.0,-607.502685546875,1.7125314474105835,nan
98114,2988.588675,500.0,-604.9810791015625,4.082757949829102,nan
98614,3053.345076,500.0,-606.2244873046875,1.2985544204711914,nan
99114,3084.097925,500.0,-606.2244873046875,1.2985544204711914,nan
99614,3095.544541,500.0,-598.539306640625,0.7368116974830627,nan
